address,solution_found
0xd029a934471abf41a63e79036f4ce43c62a01b34,DUP4 PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP4 AND SWAP1 PUSH a9059cbb SWAP1 PUSH 40 MLOAD DUP1 PUSH 44 ADD SWAP2 DUP4 PUSH e0 SHL DUP3 MSTORE DUP9 AND DUP2 PUSH 4 ADD MSTORE DUP9 SWAP1 PUSH 24 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0xd029a934471abf41a63e79036f4ce43c62a01b34,DUP3 PUSH0 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP4 AND SWAP1 PUSH a9059cbb SWAP1 PUSH 40 MLOAD DUP1 PUSH 44 ADD SWAP2 DUP4 PUSH e0 SHL DUP3 MSTORE DUP9 AND DUP2 PUSH 4 ADD MSTORE DUP7 SWAP1 PUSH 24 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0xd029a934471abf41a63e79036f4ce43c62a01b34,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 26 DUP2 PUSH 24 ADD MSTORE PUSH 4f776e61626c653a206e6577206f776e657220697320746865207a65726f2061 DUP2 PUSH 44 ADD MSTORE PUSH 646472657373 PUSH d0 SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 42
0xdA0e7199B317e506763b4A90B9d3410777214603,POP PUSH 40 MLOAD DUP1 PUSH 40 ADD PUSH 40 MSTORE PUSH 5 DUP2 MSTORE PUSH 4a55504149 PUSH d8 SHL DUP1 DUP3 PUSH 20 ADD MSTORE PUSH 40 MLOAD SWAP1 DUP2 PUSH 40 ADD PUSH 40 MSTORE PUSH 5 DUP3 MSTORE DUP2 PUSH 20 ADD MSTORE PUSH 3 PUSH [tag] 5 DUP4 PUSH 3 PUSH [tag] 6
0xdA0e7199B317e506763b4A90B9d3410777214603,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 391434e3 PUSH e2 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE PUSH [tag] 21
0xdA0e7199B317e506763b4A90B9d3410777214603,PUSH 40 MLOAD SWAP2 PUSH 20 DUP3 PUSH 1f ADD DIV PUSH 20 MUL PUSH 20 ADD DUP4 ADD PUSH 40 MSTORE DUP2 DUP4 MSTORE SWAP1 DUP2 SWAP2 DUP4 PUSH 20 ADD SWAP1 PUSH [tag] 56 DUP2 SLOAD PUSH [tag] 55
0xdA0e7199B317e506763b4A90B9d3410777214603,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 DUP2 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP3 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 SLOAD PUSH0 NOT DUP2 EQ PUSH [tag] 94
0xdA0e7199B317e506763b4A90B9d3410777214603,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 7dc7a0d9 PUSH e1 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP6 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE
0xdA0e7199B317e506763b4A90B9d3410777214603,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP6 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP4 AND PUSH0 MSTORE DUP2 PUSH 40 PUSH0 KECCAK256 SSTORE DUP1 ISZERO PUSH [tag] 94
0xdA0e7199B317e506763b4A90B9d3410777214603,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 391434e3 PUSH e2 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE PUSH [tag] 92
0xd99b71721bda95e94f26e080676e56483bfdd128,POP PUSH 40 MLOAD DUP1 PUSH 40 ADD PUSH 40 MSTORE PUSH 6 DUP2 MSTORE PUSH 53706f726b79 PUSH d0 SHL DUP2 PUSH 20 ADD MSTORE PUSH 40 MLOAD DUP1 PUSH 40 ADD PUSH 40 MSTORE PUSH 6 DUP2 MSTORE PUSH 53504f524b59 PUSH d0 SHL DUP2 PUSH 20 ADD MSTORE PUSH 3 PUSH [tag] 5 DUP4 PUSH 3 PUSH [tag] 6
0xd99b71721bda95e94f26e080676e56483bfdd128,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 391434e3 PUSH e2 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE PUSH [tag] 21
0xd99b71721bda95e94f26e080676e56483bfdd128,PUSH 40 MLOAD SWAP2 PUSH 20 DUP3 PUSH 1f ADD DIV PUSH 20 MUL PUSH 20 ADD DUP4 ADD PUSH 40 MSTORE DUP2 DUP4 MSTORE SWAP1 DUP2 SWAP2 DUP4 PUSH 20 ADD SWAP1 PUSH [tag] 56 DUP2 SLOAD PUSH [tag] 55
0xd99b71721bda95e94f26e080676e56483bfdd128,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 DUP2 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP3 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 SLOAD PUSH0 NOT DUP2 EQ PUSH [tag] 94
0xd99b71721bda95e94f26e080676e56483bfdd128,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 7dc7a0d9 PUSH e1 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP6 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE
0xd99b71721bda95e94f26e080676e56483bfdd128,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP6 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP4 AND PUSH0 MSTORE DUP2 PUSH 40 PUSH0 KECCAK256 SSTORE DUP1 ISZERO PUSH [tag] 94
0xd99b71721bda95e94f26e080676e56483bfdd128,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 391434e3 PUSH e2 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE PUSH [tag] 92
0xd5c597a2177660102f8afd690c1765ffdd5f973f,POP PUSH 4 SLOAD PUSH ff NOT AND PUSH 12 OR PUSH 4 SSTORE PUSH 6 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB NOT AND CALLER OR PUSH 6 SSTORE PUSH 280de800 PUSH [tag] 7 CALLER PUSH [tag] 8 DUP4 PUSH de0b6b3a7640000 PUSH [tag] 9
