contract,solution_found
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD DUP2 SWAP1 MSTORE PUSH 24 DUP3 ADD MSTORE PUSH 4f776e61626c653a2063616c6c6572206973206e6f7420746865206f776e6572 PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 80 PUSH 40 MSTORE PUSH f PUSH 6 SSTORE PUSH f PUSH 7 SSTORE PUSH0 PUSH 8 SSTORE PUSH0 PUSH 9 SSTORE PUSH f PUSH a SSTORE PUSH f PUSH b SSTORE PUSH f PUSH c SSTORE PUSH0 PUSH d SSTORE PUSH 9 PUSH a PUSH [tag] 1 SWAP2 SWAP1 PUSH [tag] 2
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP1 DUP2 AND DUP3 MSTORE PUSH 20 DUP1 DUP4 ADD SWAP4 SWAP1 SWAP4 MSTORE PUSH 40 SWAP2 DUP3 ADD PUSH0 SWAP1 DUP2 KECCAK256 DUP1 SLOAD SWAP6 ISZERO ISZERO PUSH ff NOT SWAP7 DUP8 AND OR SWAP1 SSTORE ADDRESS DUP2 MSTORE PUSH 3 SWAP1 SWAP4 MSTORE DUP2 DUP4 KECCAK256 DUP1 SLOAD DUP6 AND PUSH 1 SWAP1 DUP2 OR SWAP1 SWAP2 SSTORE PUSH 5 SLOAD SWAP1 SWAP2 AND DUP4 MSTORE SWAP2 KECCAK256 DUP1 SLOAD SWAP1 SWAP3 AND OR SWAP1 SSTORE PUSH [tag] 24 CALLER SWAP1
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP2 DUP3 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 2 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 SWAP4 SWAP1 SWAP5 AND DUP3 MSTORE SWAP2 SWAP1 SWAP2 MSTORE KECCAK256 SLOAD SWAP1
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP11 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 2 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 CALLER DUP5 MSTORE SWAP1 SWAP2 MSTORE SWAP1 KECCAK256 SLOAD SWAP2 SWAP1 PUSH [tag] 149
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 20 SWAP1 DUP2 MUL SWAP2 SWAP1 SWAP2 ADD DUP2 ADD MLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB AND DUP3 MSTORE DUP2 ADD SWAP2 SWAP1 SWAP2 MSTORE PUSH 40 ADD PUSH0 KECCAK256 DUP1 SLOAD PUSH ff NOT AND SWAP2 ISZERO ISZERO SWAP2 SWAP1 SWAP2 OR SWAP1 SSTORE PUSH 1 ADD PUSH [tag] 157
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 12 PUSH0 SWAP1 SLOAD SWAP1 PUSH 100 EXP SWAP1 DIV PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH c45a0155 PUSH 40 MLOAD DUP2 PUSH ffffffff AND PUSH e0 SHL DUP2 MSTORE PUSH 4 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH c9c65396 ADDRESS PUSH 12 PUSH0 SWAP1 SLOAD SWAP1 PUSH 100 EXP SWAP1 DIV PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH ad5c4648 PUSH 40 MLOAD DUP2 PUSH ffffffff AND PUSH e0 SHL DUP2 MSTORE PUSH 4 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 40 MLOAD PUSH 1 PUSH 1 PUSH e0 SHL SUB NOT PUSH e0 DUP6 SWAP1 SHL AND DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP3 DUP4 AND PUSH 4 DUP3 ADD MSTORE SWAP2 AND PUSH 24 DUP3 ADD MSTORE PUSH 44 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 13 DUP1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP3 DUP4 AND PUSH 1 PUSH 1 PUSH a0 SHL SUB NOT SWAP1 SWAP2 AND OR SWAP1 SSTORE PUSH 12 SLOAD AND PUSH f305d719 SELFBALANCE ADDRESS PUSH [tag] 220 DUP2 PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH0 SWAP1 DUP2 MSTORE PUSH 1 PUSH 20 MSTORE PUSH 40 SWAP1 KECCAK256 SLOAD SWAP1
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 40 MLOAD PUSH e0 DUP9 SWAP1 SHL PUSH 1 PUSH 1 PUSH e0 SHL SUB NOT AND DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP6 DUP7 AND PUSH 4 DUP3 ADD MSTORE PUSH 24 DUP2 ADD SWAP5 SWAP1 SWAP5 MSTORE PUSH 44 DUP5 ADD SWAP3 SWAP1 SWAP3 MSTORE PUSH 64 DUP4 ADD MSTORE SWAP1 SWAP2 AND PUSH 84 DUP3 ADD MSTORE TIMESTAMP PUSH a4 DUP3 ADD MSTORE PUSH c4 ADD PUSH 60 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP6 DUP9
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,POP POP PUSH 13 SLOAD PUSH 12 SLOAD PUSH 40 MLOAD PUSH 95ea7b3 PUSH e0 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP2 DUP3 AND PUSH 4 DUP3 ADD MSTORE PUSH0 NOT PUSH 24 DUP3 ADD MSTORE SWAP2 AND SWAP2 POP PUSH 95ea7b3 SWAP1 PUSH 44 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0x02bdd435e2fc8b5bfbc913c282210c70ecf57e1d,PUSH 20 SWAP1 DUP2 MUL SWAP2 SWAP1 SWAP2 ADD DUP2 ADD MLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB AND DUP3 MSTORE DUP2 ADD SWAP2 SWAP1 SWAP2 MSTORE PUSH 40 ADD PUSH0 KECCAK256 DUP1 SLOAD PUSH ff NOT AND SWAP2 ISZERO ISZERO SWAP2 SWAP1 SWAP2 OR SWAP1 SSTORE PUSH 1 ADD PUSH [tag] 239
