address,solution_found
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP3 AND PUSH dd62ed3e PUSH 40 MLOAD DUP1 PUSH 44 ADD SWAP1 PUSH 6eb1769f PUSH e1 SHL DUP2 MSTORE CALLER DUP2 PUSH 4 ADD MSTORE ADDRESS SWAP1 PUSH 24 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP3 PUSH 1 PUSH 1 PUSH e0 SHL SUB NOT DUP6 PUSH e0 SHL AND DUP3 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP1 DUP2 AND DUP3 PUSH 4 ADD MSTORE SWAP1 SWAP2 AND DUP2 PUSH 24 ADD MSTORE PUSH 1 SLOAD SWAP1 PUSH 44 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0xdcc800545f23bed5ae98c4c4ba93bea354c137f8,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 5 DUP2 PUSH 24 ADD MSTORE PUSH 4753303331 PUSH d8 SHL DUP2 PUSH 44 ADD MSTORE PUSH 40 MLOAD DUP1 SWAP1 SWAP2 PUSH 64 ADD SUB SWAP1
0xd809de4c2ad5c64b58b1a760b864f79b833a8b89,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 21 DUP2 PUSH 24 ADD MSTORE PUSH 4465706f736974206d7573742062652067726561746572207468616e207a6572 DUP2 PUSH 44 ADD MSTORE PUSH 6f PUSH f8 SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 38
0xd62aa05fae2a7cf85445717dd8107c5550016287,PUSH0 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 1 PUSH 20 MSTORE DUP1 SLOAD SWAP2 SWAP1 PUSH 1 ADD SLOAD SWAP1 PUSH 40 PUSH0 KECCAK256 SLOAD PUSH ff AND SWAP1
0xd62aa05fae2a7cf85445717dd8107c5550016287,SWAP1 MSTORE PUSH0 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP5 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 DUP2 MLOAD SWAP2 PUSH 20 ADD MLOAD PUSH 1 PUSH 20 MSTORE SWAP2 DUP2 SSTORE SWAP1 SWAP1 PUSH 1 ADD SSTORE PUSH 40 PUSH0 KECCAK256 SLOAD PUSH ff AND PUSH [tag] 63
0xd62aa05fae2a7cf85445717dd8107c5550016287,PUSH0 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND DUP1 PUSH0 MSTORE PUSH f94991dcbea6e8ac439cbc93bd9c62a4d39f04e0ad656df9a703f13552c2787f PUSH 40 PUSH0 KECCAK256 PUSH 40 MLOAD DUP6 DUP2 MSTORE SWAP1 PUSH 1 ADD SLOAD DUP2 PUSH 20 ADD MSTORE PUSH 40 MLOAD DUP1 SWAP1 SWAP2 PUSH 40 ADD SUB SWAP1
0xd62aa05fae2a7cf85445717dd8107c5550016287,PUSH0 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP6 AND DUP1 PUSH0 MSTORE SWAP1 DUP4 SSTORE PUSH 40 PUSH0 KECCAK256 PUSH0 DUP2 SSTORE PUSH0 SWAP1 PUSH 1 ADD SSTORE SWAP3 POP POP POP PUSH 71215198e3f86c24dc3af6d0d7f84d0095e5ee736aa56daf9927fae51935e95d PUSH0 PUSH 40 MLOAD
0xd5D645d9e4455546043ceb827A7d285055c41Ff5,POP PUSH 4 PUSH 20 MSTORE CALLER PUSH0 MSTORE CALLER PUSH0 PUSH ddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef PUSH 40 PUSH0 KECCAK256 PUSH 40 MLOAD PUSH 3 SLOAD DUP1 DUP3 MSTORE SWAP1 SWAP2 SSTORE PUSH 6 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB NOT AND CALLER OR PUSH 6 SSTORE PUSH 40 MLOAD DUP1 SWAP1 SWAP2 PUSH 20 ADD SUB SWAP1
0xd5D645d9e4455546043ceb827A7d285055c41Ff5,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 17 DUP2 PUSH 24 ADD MSTORE PUSH 43616c6c6572206973206e6f7420746865206f776e6572000000000000000000 DUP2 PUSH 44 ADD MSTORE PUSH 40 MLOAD DUP1 SWAP1 SWAP2 PUSH 64 ADD SUB SWAP1
